Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11",1206,2,22uF 10V,C5672
"C10, C18, C2, C3, C4, C5, C6, C7, C8",1206,9,22uF,C5672
"C12, C13, C15, C16, C17, C19, C20, C9",0603,8,100nF,C66501
C14,0603,1,10uF 10V,C19702
"C21, C22",0402,2,22pF,C881987
CON1,MICRO-USB-SMD_HRS-ZX62D-B-5P830,1,USB_B_Micro,C719023
CON2,MICRO-USB-SMD_HRS-ZX62D-B-5P830,1,UART,C719023
"D1, D2",LED0805,2,LED yellow,C2296
"D3, D4",0603,2,LED green,C2833058
"D5, D8",SOT-23,2,BAT54C,C37704
D6,0603,1,RX,C2833058
D7,0603,1,TX,C5151485
"JX1, JX2",BergStak-100pos-plug-61083-101400,2,~,C2764776
L1,Inductor-0806_L2.0-W1.6-1,1,1uH 2A,C2913752
"Q2, Q3, Q4",SOT-23,3,BSS138,C400505
"R1, R5, R6, R9",0603,4,1K,C21190
R10,0603,1,1K5 1%,C22843
"R11, R16",0603,2,680R 1%,C23228
R12,0603,1,3K,C4211
R13,0603,1,180k,C22827
R14,0603,1,430R 1%,C23170
R15,0402,1,133R,C4326496
"R17, R18",0603,2,150R,C22808
"R19, R2, R22",0603,3,100R,C22775
"R20, R27",0603,2,3K3,C22978
R23,0603,1,100K,C25803
R24,0603,1,154R,C365385
R25,0603,1,4K87,C2097544
R26,0603,1,1K54,C100784
R3,0603,1,220R 1%,C22962
R4,0603,1,300R 1%,C23025
R7,0603,1,10K,C25804
R8,0603,1,3K92 1%,C170585
REG1,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,TPS62082DSGR,C485809
"SW1, SW2",Switch-TH_4P-L6.0-W6.0-P4.50-LS6.5,2,SW_MEC_5E,C445493
SW3,Switch_SS12D10G4,1,SW_SPDT,C2887259
U1,SOT-25-5_L3.0-W1.8-P0.95-LS3.0-BR,1,AP331A,C151034
U2,SOT-23,1,TL431A PJSEMI,C411753
"U3, U4",TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,2,TXB0108PWR,C53406
U5,SOP-16_3.9x9.9mm_P1.27mm,1,CH340G,C14267
U6,X1-DFN1010-6_L1.0-W1.0-P0.35-BL,1,74LVC1G08,C150443
X1,Oscillator_SMD_5.1x3.3mm,1,NT0503DH3I507BN50,C2920832
Y1,Crystal SMD2520-4P,1,12MHz,C2149206
