Designator,Mid X,Mid Y,Rotation,Layer
C1,77.265,-102.362,0.0,top
C10,104.2942,-110.236,180.0,top
C11,138.539,-73.4538,0.0,top
C12,138.539,-75.3842,180.0,top
C13,56.833,-68.072,180.0,top
C14,138.5412,-68.7752,180.0,top
C15,138.544,-67.2846,0.0,top
C16,126.492,-76.581,0.0,top
C17,153.162,-61.214,180.0,top
C18,121.666,-110.236,0.0,top
C19,153.911,-98.933,180.0,top
C2,59.993,-102.362,180.0,top
C20,149.1475,-55.88,0.0,top
C21,153.3678,-110.845,0.0,top
C22,147.856,-112.395,180.0,top
C3,59.993,-83.459955,180.0,top
C4,59.993,-110.236,180.0,top
C5,77.265,-110.236,180.0,top
C6,59.993,-118.364,180.0,top
C7,104.2942,-102.362,180.0,top
C8,121.666,-102.362,0.0,top
C9,56.833,-58.801,180.0,top
CON1,128.149858,-51.411378,180.0,top
CON2,156.843222,-105.218738,90.0,top
D1,40.4114,-62.41669,270.0,top
D2,40.4114,-67.36969,270.0,top
D3,157.2005,-76.962,0.0,top
D4,157.2005,-80.645,0.0,top
D5,122.8575,-80.4926,0.0,top
D6,155.6661,-117.2464,180.0,top
D7,155.6916,-114.9604,180.0,top
D8,122.491,-67.1045,270.0,top
JX1,113.03,-99.06,270.0,top
JX2,68.58,-99.06,270.0,top
L1,142.161,-71.2898,270.0,top
Q2,122.8575,-77.023,0.0,top
Q3,43.6095,-62.65414,0.0,top
Q4,43.6395,-67.503,0.0,top
R1,123.444,-85.598,0.0,top
R10,149.035,-60.96,0.0,top
R11,126.5052,-81.4426,0.0,top
R12,156.147,-66.548,180.0,top
R13,143.1586,-74.295,180.0,top
R14,121.92,-73.724,90.0,top
R15,153.0246,-117.2464,0.0,top
R16,149.035,-62.484,180.0,top
R17,38.354,-62.65414,270.0,top
R18,38.354,-67.503,270.0,top
R19,56.833,-61.849,180.0,top
R2,120.459,-85.598,180.0,top
R20,56.833,-60.325,180.0,top
R22,56.833,-71.12,180.0,top
R23,156.147,-65.024,0.0,top
R24,152.4536,-114.9604,0.0,top
R25,154.178,-76.962,180.0,top
R26,154.178,-80.645,180.0,top
R27,56.833,-69.596,180.0,top
R3,128.524,-97.727,90.0,top
R4,128.524,-94.679,90.0,top
R5,118.809,-58.039,180.0,top
R6,127.0,-74.041,90.0,top
R7,121.6538,-63.7032,180.0,top
R8,126.492,-78.105,180.0,top
R9,145.733,-57.47,180.0,top
REG1,138.539,-70.994,0.0,top
SW1,50.546,-60.452,0.0,top
SW2,50.546,-69.596,0.0,top
SW3,134.519035,-60.2742,180.0,top
U1,152.591,-64.008,180.0,top
U2,149.1475,-58.42,180.0,top
U3,71.369936,-155.651962,180.0,top
U4,94.229936,-155.651962,180.0,top
U5,150.5858,-104.902,270.0,top
U6,156.4971,-113.024412,270.0,top
X1,124.696,-96.704,180.0,top
Y1,150.622,-111.62,0.0,top
